"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"13691","854.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13692","854.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13693","854.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13694","855.016965","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13695","855.017279","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13696","855.019237","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13697","855.019495","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13698","855.020545","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13699","855.029755","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13700","855.040000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1399, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13701","855.142400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1400, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13702","855.244800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1401, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13703","855.347200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1402, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13704","855.449600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1403, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13705","855.552000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1404, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13706","855.654400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1405, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
