No.,Time,Length,Device IP,Day
372,0 days 00:00:46.332244215,125,192.168.239.7,1
373,0 days 00:00:46.364274187,86,192.168.239.95,1
374,0 days 00:00:46.374401458,86,192.168.239.95,1
375,0 days 00:00:46.394357817,148,192.168.239.67,1
376,0 days 00:00:46.394357943,185,192.168.239.67,1
377,0 days 00:00:46.394373194,86,192.168.239.95,1
378,0 days 00:00:46.394387750,86,192.168.239.95,1
379,0 days 00:00:46.395491236,121,192.168.239.7,1
380,0 days 00:00:46.396286656,125,192.168.239.7,1
381,0 days 00:00:46.396349924,125,192.168.239.67,1
382,0 days 00:00:46.434890459,86,192.168.239.95,1
383,0 days 00:00:46.899275928,156,192.168.239.7,1
384,0 days 00:00:46.899276282,1354,192.168.239.7,1
385,0 days 00:00:46.899276322,1354,192.168.239.67,1
386,0 days 00:00:46.899276364,921,192.168.239.67,1
387,0 days 00:00:46.899307282,86,192.168.239.95,1
388,0 days 00:00:46.899325641,86,192.168.239.95,1
389,0 days 00:00:46.899330197,86,192.168.239.95,1
390,0 days 00:00:46.899334840,86,192.168.239.95,1
391,0 days 00:00:46.899593025,623,192.168.239.7,1
392,0 days 00:00:46.899606257,98,192.168.239.95,1
393,0 days 00:00:46.900565086,1354,192.168.239.95,1
394,0 days 00:00:46.900565248,1354,192.168.239.95,1
395,0 days 00:00:46.900583335,98,192.168.239.95,1
396,0 days 00:00:46.900611199,86,192.168.239.95,1
397,0 days 00:00:46.901160687,121,192.168.239.7,1
398,0 days 00:00:46.901186139,125,192.168.239.7,1
399,0 days 00:00:46.947373666,86,192.168.239.95,1
400,0 days 00:00:52.072619714,91,192.168.239.7,1
401,0 days 00:00:52.093986279,200,192.168.239.12,1
402,0 days 00:00:52.104534228,95,192.168.239.7,1
403,0 days 00:00:52.126893985,87,192.168.239.67,1
404,0 days 00:00:52.326131820,200,192.168.239.12,1
405,0 days 00:00:52.326287176,96,192.168.239.7,1
406,0 days 00:00:52.411784732,159,192.168.239.7,1
407,0 days 00:00:52.411997917,86,192.168.239.95,1
408,0 days 00:00:52.441827482,86,192.168.239.95,1
409,0 days 00:00:52.441891150,86,192.168.239.95,1
410,0 days 00:00:53.138533803,86,192.168.239.95,1
411,0 days 00:00:53.150498064,86,192.168.239.95,1
412,0 days 00:00:53.196516580,86,192.168.239.95,1
413,0 days 00:00:53.211827480,86,192.168.239.95,1
414,0 days 00:00:56.934451436,107,192.168.239.67,1
415,0 days 00:00:56.934742564,96,192.168.239.67,1
416,0 days 00:00:57.753594829,86,192.168.239.67,1
417,0 days 00:00:57.753632385,78,192.168.239.67,1
418,0 days 00:01:00.210886796,103,192.168.239.7,1
419,0 days 00:01:02.056838628,335,192.168.239.67,1
420,0 days 00:01:02.464379151,357,192.168.239.67,1
421,0 days 00:01:02.464402879,86,192.168.239.95,1
422,0 days 00:01:03.897571825,111,192.168.239.67,1
423,0 days 00:01:03.898327477,115,192.168.239.67,1
424,0 days 00:01:03.971775719,86,192.168.239.95,1
425,0 days 00:01:06.764873917,110,192.168.239.67,1
426,0 days 00:01:06.765088206,114,192.168.239.67,1
427,0 days 00:01:06.799062385,86,192.168.239.95,1
428,0 days 00:01:07.474424864,86,192.168.239.95,1
429,0 days 00:01:07.474529408,86,192.168.239.95,1
430,0 days 00:01:07.474536076,86,192.168.239.95,1
431,0 days 00:01:07.474540982,86,192.168.239.95,1
432,0 days 00:01:07.490559228,86,192.168.239.95,1
433,0 days 00:01:07.516229650,86,192.168.239.95,1
434,0 days 00:01:07.524619114,86,192.168.239.95,1
435,0 days 00:01:07.528289507,86,192.168.239.95,1
436,0 days 00:01:07.528289644,86,192.168.239.95,1
437,0 days 00:01:07.531798114,86,192.168.239.95,1
438,0 days 00:01:08.198387073,110,192.168.239.67,1
439,0 days 00:01:08.198623369,114,192.168.239.67,1
440,0 days 00:01:08.246921774,86,192.168.239.95,1
441,0 days 00:01:09.522380075,86,192.168.239.95,1
442,0 days 00:01:09.571658723,86,192.168.239.95,1
443,0 days 00:01:11.056697126,335,192.168.239.7,1
444,0 days 00:01:11.372885164,86,192.168.239.95,1
445,0 days 00:01:11.372885427,355,192.168.239.67,1
446,0 days 00:01:11.372933234,86,192.168.239.95,1
447,0 days 00:01:11.570387946,86,192.168.239.95,1
448,0 days 00:01:11.611060515,86,192.168.239.95,1
449,0 days 00:01:11.885090898,120,192.168.239.7,1
450,0 days 00:01:11.885091107,96,192.168.239.7,1
451,0 days 00:01:11.885091122,154,192.168.239.7,1
452,0 days 00:01:11.885293176,96,192.168.239.67,1
453,0 days 00:01:11.885321955,96,192.168.239.7,1
454,0 days 00:01:11.889052702,333,192.168.239.12,1
455,0 days 00:01:11.918308967,90,192.168.239.67,1
456,0 days 00:01:11.928719292,95,192.168.239.7,1
457,0 days 00:01:12.499310446,165,192.168.239.12,1
458,0 days 00:01:12.499310568,165,192.168.239.12,1
459,0 days 00:01:12.499541645,98,192.168.239.7,1
460,0 days 00:01:12.499587085,96,192.168.239.7,1
461,0 days 00:01:12.553915162,87,192.168.239.67,1
462,0 days 00:01:14.547264370,140,192.168.239.67,1
463,0 days 00:01:14.548085431,144,192.168.239.67,1
464,0 days 00:01:14.642616378,86,192.168.239.95,1
465,0 days 00:01:17.714431306,86,192.168.239.95,1
466,0 days 00:01:17.730468860,86,192.168.239.95,1
467,0 days 00:01:17.746537485,86,192.168.239.95,1
468,0 days 00:01:17.791345093,86,192.168.239.95,1
469,0 days 00:01:19.762509218,86,192.168.239.95,1
470,0 days 00:01:19.813657536,86,192.168.239.95,1
471,0 days 00:01:21.298387271,86,192.168.239.95,1
472,0 days 00:01:21.367719247,86,192.168.239.95,1
473,0 days 00:01:22.125206227,99,192.168.239.7,1
474,0 days 00:01:22.125296883,86,192.168.239.95,1
475,0 days 00:01:22.125311084,86,192.168.239.95,1
476,0 days 00:01:22.125424708,96,192.168.239.67,1
477,0 days 00:01:23.408647145,80,192.168.239.7,1
478,0 days 00:01:23.408768750,80,192.168.239.7,1
479,0 days 00:01:23.408846659,80,192.168.239.67,1
480,0 days 00:01:23.455417586,268,192.168.239.7,1
481,0 days 00:01:23.468904194,364,192.168.239.67,1
482,0 days 00:01:23.489332692,94,192.168.239.95,1
483,0 days 00:01:23.530147283,80,192.168.239.67,1
484,0 days 00:01:23.530273045,80,192.168.239.67,1
485,0 days 00:01:23.530356707,80,192.168.239.67,1
486,0 days 00:01:23.562512075,218,192.168.239.67,1
487,0 days 00:01:23.563017323,109,192.168.239.67,1
488,0 days 00:01:23.567326845,347,192.168.239.67,1
489,0 days 00:01:23.568199415,187,192.168.239.67,1
490,0 days 00:01:23.578261496,205,192.168.239.7,1
491,0 days 00:01:23.578728877,89,192.168.239.7,1
492,0 days 00:01:23.585258750,94,192.168.239.95,1
493,0 days 00:01:23.592947236,187,192.168.239.7,1
494,0 days 00:01:23.598407831,174,192.168.239.67,1
495,0 days 00:01:23.615091961,94,192.168.239.95,1
